Card ID,Name,Type,Deck,Players,Cost,Prerequisite,Card Text,Bonus Points,banned,is_no,dealt,drafted,played,won,ADP,play_ratio,win_ratio,PWR,PWR_no_log,PWR_normalized
G007,Astronomer,Occupation,G,,,,"When you play this card, you receive 2 food. Whenever 3/4/5 of your family members (or guests) use 3/4/5 adjacent action spaces (forming a vertical or horizontal line), you receive 1/3/5 bonus points. The action spaces must have the same dimensions size.",,False,True,482.0,290.0,106.0,22.0,5.89,0.2199170124,0.2075471698,0.65,0.6397423136,
WM060,Attic,Minor Improvement,Wm,,,,"Whenever you extend your home, you may place 1 Wood from your supply on each of the new rooms. You cannot use this wood any more, but each is worth 1 Bonus point at the end of the game.",,False,True,915.0,397.0,277.0,80.0,5.64,0.3027322404,0.2888086643,1.25,1.1543328345,
G008,Auctioneer,Occupation,G,,,,"Place 2 reed, 3 wood, 3 clay, and 2 stone on rounds 7, 9, 11 and 13, respectively. At the start of these rounds, all players simultaneously bid food for the resources. The highest bidder gets the resources and you get the food. If you win, pay your food to the general supply. Ties are broken by this round’s player order.",,False,False,113.0,9.0,2.0,0.0,6.11,0.017699115,0.0,,0.0,
68,Avalanche,Minor Improvement,,,,,,,False,True,,,,,,,,,,
FR064,Award Winner,Occupation,Fr,,,,"Once per round, when you build a Major or Minor Improvement, you may pay 1 additional building resource of those already paid for 1 Bonus Point.",,False,True,743.0,250.0,67.0,18.0,5.9,0.0901749664,0.2686567164,0.35,0.3202598811,
E13,Axe,Minor Improvement,E,,1 stone,,"Whenever you add a room to your Wooden hut, you only pay 2 wood and 2 reeds.",,False,True,1128.0,1120.0,1030.0,291.0,1.55,0.9131205674,0.2825242718,3.69,3.5351314663,
G56057,Baby Sling,Minor Improvement,G5,,1R / 1 Sheep,,"Once per round when you take the ”Family growth” action on an Action space, you can move the newborn(s) to Baby Sling. If you do, return the adult who took ”Family growth” to your home.",,False,True,860.0,770.0,670.0,212.0,2.9,0.7790697674,0.3164179104,3.52,3.32711856,
WM061,Back Door,Minor Improvement,Wm,,,”Family growth” action is revealed,"Immediately place a Family member that is not already placed on an Action space on the ”After Family Growth also 1 Minor Improvement” Action space even if it is occupied by you or another player and take that action. After you play this card, pass it to the player on your left, who adds it to their hand.",,False,True,859.0,811.0,470.0,108.0,3.95,0.5471478463,0.229787234,1.8,0.0076430146,
73,Backyardbaker,Occupation,G7,,,,,,False,False,107.0,82.0,45.0,18.0,4.22,0.4205607477,0.4,2.4,2.349799733,
WM062,Backyard Well,Minor Improvement,Wm,,2S 1W,,"Once this game, at any time, you may place 1 Stone from the general supply on 1 Unused farmyard space next to your home. (It now counts as used.) If you do this, place 1 Food on each of the next 3 Round spaces. At the start of these rounds, you receive the Food. (Backyard Well counts as a Well.)",2,False,True,1033.0,912.0,707.0,211.0,3.4,0.6844143272,0.2984441301,2.92,2.7983006531,
75,Badge,Minor Improvement,G7,,,,,,False,False,341.0,279.0,186.0,76.0,4.7,0.5454545455,0.4086021505,3.18,3.1325594281,
FR006,Badger,Minor Improvement,Fr,,1C,,"Immediately place a marker on an Action space of your choice. At the start of each round, you must move it to an orthogonally adjacent revealed Action space. Any player that uses that space also receives 1 Food.",,True,False,684.0,99.0,48.0,14.0,6.24,0.0701754386,0.2916666667,0.29,0.274122807,
77,Badger1P,Minor Improvement,,,,,,,False,True,,,,,,,,,,
FR007,Baguette,Minor Improvement,Fr,,,,"During each Harvest, you may pay 1 Wood to Bake bread at the start of the Feeding phase if you have an Improvement with the bread symbol.",,False,True,894.0,437.0,324.0,96.0,5.6,0.3624161074,0.2962962963,1.53,1.5008936709,
K106,Bakehouse,Minor Improvement,K,,3S,Return 1 Oven of your choice,"Whenever you use a bread baking action, you can use the Bakehouse to convert up to 2 grain into 5 food each. When you play this card, you can also bake bread immediately.",5,False,True,850.0,570.0,260.0,79.0,5.23,0.3058823529,0.3038461538,1.33,1.2460245637,
E150,Baker,Occupation,E,1+,,,"During each Harvest, you may Bake bread at the start of the Feeding phase if you have a Baking improvement. When you play this card, you may Bake bread as an additional action.",,False,True,874.0,725.0,412.0,130.0,4.74,0.471395881,0.3155339806,2.12,2.0475153693,
81,Bakersapprentice,Occupation,,,,,,,False,True,,,,,,,,,,
G009,Baker’s Daughter,Occupation,G,,,,"If another player plays the Baker E150 or Master Baker E149, you may play this card immediately at no cost. You can use the ”Take 1 Grain” and ”Sow and Bake Bread” action spaces even if another player has placed a person on the space. When you play this card, you can immediately take a ”Bake bread” bread baking action.",,False,False,456.0,260.0,108.0,37.0,5.61,0.2368421053,0.3425925926,1.16,1.0840179152,
I65,Baker’s Kitchen,Minor Improvement,I,,2S,Return 1 Oven of your choice,"Whenever you use a bread baking action, you can use the Baker’s Kitchen to convert up to 2 grain into 5 food each. When you play this card, you can also bake bread immediately .",4,False,True,877.0,579.0,301.0,107.0,5.07,0.3432155074,0.3554817276,1.74,1.6966304965,
E14,Baker’s Oven,Minor Improvement,E,,"2 clay, 2 stone",Return 1 Oven,"Whenever you use the 'Bake bread' action, you can use the Baker's Oven to convert up to 2 grain into 5 food each. When you play this card, you can also take the 'Bake bread' action.",3,False,True,894.0,611.0,359.0,126.0,4.99,0.4015659955,0.3509749304,2.01,1.9236880971,
G55719,Baker’s servant,Occupation,G5,,,,"Whenever you use a ”Bake bread” action, you may Plow 1 field.",,True,False,836.0,737.0,616.0,226.0,2.53,0.7368421053,0.3668831169,3.86,3.8180420058,
86,Bakerstool,Minor Improvement,,,,,,,False,True,,,,,,,,,,
G56174,Bakery,Minor Improvement,G5,,2S 2C,2 Grain Fields,You receive 4 Food at the start of each Harvest.,1,False,True,782.0,703.0,450.0,125.0,3.5,0.5754475703,0.2777777778,2.28,2.2530751431,
88,Bakingdish,Minor Improvement,G7,,,,,,False,False,294.0,229.0,130.0,42.0,5.12,0.4421768707,0.3230769231,2.04,1.978021978,
G063,Baking Field,Minor Improvement,G,,,2 Occupations and & 1 Baking Improvement,"When you sow, you can plant grain on this card as you would on a field. When harvesting, you must immediately bake this field’s harvested grain.",,False,True,511.0,396.0,304.0,89.0,4.55,0.5949119374,0.2927631579,2.49,2.4062725306,
E15,Baking Tray,Minor Improvement,E,,1 wood,,"Clay Ovens and Stone Ovens are Minor improvements for you. Clay, Stone and Wooden ovens cost you 1 resource (of your choice) less.",,False,True,868.0,725.0,456.0,94.0,3.97,0.5253456221,0.2061403509,1.55,1.4622529827,
G66661,Balance Farmer,Occupation,G6,,,,"At the start of each round, if you have 2/3/4 types of building resources with the same amount (except 0), you receive 1/2/3 Food.",,False,True,548.0,304.0,146.0,53.0,5.49,0.2664233577,0.3630136986,1.38,1.3059408345,
G44784,Bamboo,Minor Improvement,G4,,,2 planted fields,Your next 5 fences cost you nothing.,,False,True,891.0,862.0,694.0,209.0,2.87,0.7789001122,0.3011527378,3.35,3.2544002765,
G69141,Banana Tree,Minor Improvement,G6,,1W 1C,,"Place 1 Food each on the next 7 remaining Round spaces. At the start of these rounds, you receive the Food.",,False,True,592.0,508.0,405.0,105.0,4.14,0.6841216216,0.2592592593,2.53,2.4399399399,
U011,Banana Worker,Occupation,,,,,"When you play this card, you receive 1 Wood and 1 Clay. Then you may play a Minor Improvement card by paying its costs.",,False,True,,,,,,,,,,
G64976,Banker,Occupation,G6,,,,"Immediately place a marker on 1 Action space of your choice. At the start of each round, move the marker to an orthogonally adjacent Action space. Whenever anyone uses that Action space that provides Goods with the marker on it, they receive 1 additional Good provided.",,True,False,444.0,30.0,9.0,3.0,6.73,0.0202702703,0.3333333333,0.1,0.0750750751,
96,Barbecuechef,Occupation,G7,,,,,,False,False,255.0,130.0,59.0,22.0,5.37,0.231372549,0.3728813559,1.23,1.1280444381,
G55625,Barbecue Man,Occupation,G5,,,,"At any time, you may pay 1 Wood to gain the ability to convert animals and Vegetables to Food for the rest of the round. Take 2 Food for each Sheep, 3 Food for each Wild boar or Vegetable, and 4 Food for each Cattle.",,True,False,621.0,133.0,32.0,9.0,6.14,0.0515297907,0.28125,0.21,0.1682194617,
FR008,Barber shop,Minor Improvement,Fr,,3W 1R,,"For every Harvest remaining when you play this card, you receive 1 Bonus point.",,False,True,874.0,833.0,609.0,154.0,3.21,0.6967963387,0.2528735632,2.52,2.4386303089,
G010,Bard,Occupation,G,,,,"Whenever another player uses the ”Traveling players” action on an action space, you receive 1 food and 1 wood from the general supply.",,False,False,384.0,260.0,119.0,27.0,4.96,0.3098958333,0.2268907563,1.0,0.9116146459,
G45612,Bargain Hunter,Occupation,G4,,,,"At the start of each round, you may place 1 Food from your supply on the ”Traveling Players” Action space to play a Minor Improvement. (The next player to use the Action space receives the Food.)",,False,True,668.0,347.0,179.0,47.0,5.61,0.2679640719,0.2625698324,1.01,0.9489799332,
WM004,Bargaining Baker,Occupation,Wm,,,,"When you build an Oven, pay 1 Building resource less of your choice. Whenever you build a ”baking symbol” Improvement, you receive 1 Grain before building the Improvement. (An Oven is a ”baking symbol”-Improvement with ”Oven” in the name.)",,False,True,994.0,959.0,870.0,217.0,2.43,0.8752515091,0.2494252874,3.12,3.0900344596,
102,Bargainingbreeder,Occupation,G7,,,,,,False,False,350.0,247.0,143.0,51.0,5.0,0.4085714286,0.3566433566,2.08,2.0234051663,
G66004,Bargaining Harvester,Occupation,G6,,,,Whenever you harvest 1/2/3/4+ Goods you receive 1 Food/1 Sheep/1 Wild Boar/1 Animal of your choice.,,False,True,509.0,457.0,304.0,96.0,4.1,0.5972495088,0.3157894737,2.69,2.6145914885,
G65063,Bark Breads,Minor Improvement,G6,,1W,,"When you play this card you receive 2 Food. In addition, you may convert up to 2 Wood into 1 Food each. AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,553.0,233.0,160.0,43.0,5.96,0.2893309222,0.26875,1.11,0.0069426505,
G44845,Barn,Minor Improvement,G4,,,,"At the start of Rounds 8, 10, 12, and 14, you may pay 1 Wood to builds stable if you have more fields than stables.",,False,True,821.0,765.0,706.0,212.0,2.7,0.8599269184,0.3002832861,3.69,3.6261806258,
106,Barnbuilder,Occupation,G7,,,,,,False,False,316.0,240.0,148.0,39.0,4.63,0.4683544304,0.2635135135,1.76,1.6678070476,
G67222,Barn Master,Occupation,G6,,,,"When you play this card, you can build 1 Stable at no cost in each of your pastures that can not contain any more animals than it does.",,False,True,549.0,522.0,362.0,136.0,3.47,0.6593806922,0.3756906077,3.54,3.4704700949,
G63616,Barrel Maker,Occupation,G6,,,,"Whenever you have at least 7 Wood at the start of a harvest, you receive 1 Wood and 2 Food.",,False,True,594.0,571.0,501.0,160.0,2.84,0.8434343434,0.3193612774,3.85,3.809600616,
109,Barrenfield,Minor Improvement,,,,,,,False,True,,,,,,,,,,
G064,Bartering Hut,Minor Improvement,G,,,,"When you play this card, immediately buy up to 2 animals from the general supply. Pay any 2 building resources for each sheep, any 3 for each wild boar, and any 4 for each cattle.",,False,False,455.0,295.0,172.0,49.0,5.44,0.378021978,0.2848837209,1.54,0.0178890877,
G67052,Bartering Shack,Minor Improvement,G6,,,1 Animal,"When you play this card, convert 1 Sheep/1 Wild Boar/1 Cattle into 2/3/4 Building resources of your choice. AFTER YOU PLAY THIS CARD, PASS IT TO THE PLAYER ON YOUR LEFT, WHO ADDS IT TO HIS/HER HAND",,False,True,552.0,410.0,306.0,107.0,5.13,0.5543478261,0.3496732026,2.77,0.0090495135,
K273,Basin Maker,Occupation,K,4+,,,"For each wild boar that you convert into food, you can place up to 2 wood from your personal supply on this card. You receive 1 bonus point for each wood on this card except the 1st, 4th, 7th and 10th.",Variable based on wood placed,False,True,791.0,240.0,63.0,21.0,5.97,0.0796460177,0.3333333333,0.38,0.343146108,
E34,Basket,Minor Improvement,E,,1 reed,,"Whenever you use a person's action to take wood, you can leave 2 of the wood on the Action space and receive 3 food in exchange.",,True,False,888.0,234.0,127.0,21.0,5.79,0.143018018,0.1653543307,0.34,0.3005958715,
E183,Basketmaker,Occupation,E,,,,"In each harvest, the Basketmaker can convert up to 1 reed to 3 food.",,False,True,858.0,586.0,330.0,98.0,5.42,0.3846153846,0.296969697,1.63,1.5476442749,
115,Basket Weaver,Occupation,E,4+,,,"In each Harvest, the Basket Weaver can convert up to 1 reeds to 3 food.",,False,False,262.0,177.0,85.0,20.0,4.9,0.3244274809,0.2352941176,1.09,1.0391943037,
